No,Service_type,Cost_Type,Product_Group,Serial_No,City,Product_Date,Receipt_Date,Appoint_Date,Complete_Date,TAT01,TAT02,Job_Satus,Defect_Des,Symptom_Desc,Repair_Action_Desc,Labor_Charge_Desc,Engineer,Labor_Charge_Amount,Parts_Amount,Discount_Amount,Total_Invoice_Amount
537,0,Out of Warranty,DVD PLAYER,2FDEAHGSKLEKLA4H,Tehran,38818,12/31/2012,12/31/2012,1/7/2013,0,7,1,WORN-OUT,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Maximum,Tech14,145000,0,28000,116000
538,0,Out of Warranty,AUDIO - MP3 Player,AU/ZZ&&IP2Z,Tehran,40178,12/31/2012,1/8/2013,1/14/2013,8,14,1,SHORT,NO POWER,ELECTRICAL PARTS REPLACEMENT,Free Of Charge,Tech08,0,0,0,0
539,0,Normal Warranty,PLASMA-43,IP2JRKL/&/&KL4,Tehran,,12/31/2012,1/1/2013,1/2/2013,1,2,1,WORN-OUT,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Maximum,Tech04,540000,10818317.88,2271663.576,8086654.304
540,0,Out of Warranty,AUDIO - MP3 Player,AUCQAE2&/A,Tehran,38448,12/31/2012,12/31/2012,1/9/2013,0,8,1,SHORT,SHORT BATTERY LIFE,ELECTRICAL PARTS REPLACEMENT,Minor,Tech08,70000,347720.04,83544.008,334176.032
541,0,Normal Warranty,DIGITAL CAMERA,A/HBCN/CIPEECH,Tehran,,12/31/2012,1/1/2013,1/2/2013,1,2,1,DEFORMED,OTHER PROBLEMS,MECHANICAL PARTS REPLACEMENT,Maximum,Tech11,400000,1558782.36,381756.472,1567025.888
542,1,Normal Warranty,PRINTER - MONO LAS,,Tehran,,12/31/2012,12/31/2012,1/1/2013,0,1,1,WORN-OUT,OTHER PROBLEMS,OTHER REPAIR,Maximum,Tech20,350000,0,70000,280000
543,0,Normal Warranty,DIGITAL CAMERA,AAWTC2/BCE4KL7X,Tehran,,12/31/2012,1/6/2013,1/6/2013,6,6,1,WORN-OUT,Test OK,No Action,Free Of Charge,Tech11,0,0,0,0
544,0,Out of Warranty,AUDIO - HOME THEAT,ATAX2/A4/2E,Tehran,37888,12/31/2012,12/31/2012,1/2/2013,0,2,1,WORN-OUT,OTHER PROBLEMS,SOLDERING,Minimum,Tech18,70000,0,14000,56000
545,0,Out of Warranty,PRINTER - MONO LAS,2K&/BKDP4244&7V,Tehran,38086,12/31/2012,12/31/2012,1/2/2013,0,2,1,WORN-OUT,OTHER PROBLEMS,OTHER REPAIR,Maximum,Tech16,350000,42607.44,78521.488,314085.852
546,0,Out of Warranty,PRINTER - MONO LAS,2T7IPBACP&AIP77AL,Tehran,38087,12/31/2012,12/31/2012,1/5/2013,0,5,1,WORN-OUT,OTHER PROBLEMS,OTHER REPAIR,Major,Tech20,300000,86658.2,77331.84,308327.36
547,0,Out of Warranty,DVD PLAYER,2F/KAHCSB/AZ2Z,Tehran,38824,12/31/2012,12/31/2012,1/2/2013,0,2,1,WORN-OUT,OTHER PROBLEMS,MECHANICAL PARTS REPLACEMENT,Minimum,Tech18,70000,40822.4,22184.48,88737.82
548,1,Normal Warranty,LED46,IP2JR&/4KL2A7,Tehran,,12/31/2012,12/31/2012,1/6/2013,0,6,1,WORN-OUT,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Maximum,Tech10,540000,2628023.48,633804.686,2535218.784
549,0,Out of Warranty,REFRIGERATOR-SBS,IPF&/BABP&EE2K,Tehran,38087,12/31/2012,12/31/2012,1/7/2013,0,7,1,WORN-OUT,OTHER PROBLEMS,OTHER REPAIR,Maximum,Tech16,540000,333888,174788.8,688188.2
550,1,Normal Warranty,PLASMA-43,IP2JQC/&QE&2,Tehran,,12/31/2012,12/31/2012,1/1/2013,0,1,1,WORN-OUT,OTHER PROBLEMS,FIRMWARE UPGRADE,Maximum,Tech15,540000,0,108000,432000
551,1,Normal Warranty,LED46,IP2JR2/42KLQE,Tehran,,12/31/2012,12/31/2012,1/8/2013,0,8,1,WORN-OUT,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Maximum,Tech10,540000,32834087.64,6674817.528,26688270.11
552,1,Normal Warranty,LED46,IP2JR&/4724/,Tehran,,12/31/2012,12/31/2012,1/9/2013,0,8,1,WORN-OUT,VERTICAL LINE PRINTED,ELECTRICAL PARTS REPLACEMENT,Major,Tech08,420000,27468161,5577832.2,22311328.8
553,0,Out of Warranty,DIGITAL CAMERA,ZHUC2/S2/IPIP7A,Tehran,38822,12/31/2012,1/1/2013,1/2/2013,1,2,1,WORN-OUT,OTHER PROBLEMS,SCRAP,Free Of Charge,Tech11,0,0,0,0
554,1,Normal Warranty,LED40,IP2JQA/44QE2,Tehran,,12/31/2012,12/31/2012,1/1/2013,0,1,1,WORN-OUT,VERTICAL LINE PRINTED,ELECTRICAL PARTS REPLACEMENT,Major,Tech08,420000,18481880.04,3782388.008,15128582.03
555,1,Normal Warranty,PLASMA-43,IP2JQB/&7KLQE,Tehran,,12/31/2012,12/31/2012,1/1/2013,0,1,1,WORN-OUT,PIXEL MISSING,ELECTRICAL PARTS REPLACEMENT,Medium,Tech08,300000,0,60000,240000
556,0,Normal Warranty,DIGITAL CAMERA,A42BCN/C&E4J2H,Tehran,,12/31/2012,1/1/2013,1/2/2013,1,2,1,DEFORMED,OTHER PROBLEMS,MECHANICAL PARTS REPLACEMENT,Major,Tech11,250000,0,50000,200000
557,1,Normal Warranty,LED40,IP2JRB/KLIP72IP,Tehran,,12/31/2012,12/31/2012,1/1/2013,0,1,1,WORN-OUT,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Major,Tech10,420000,24686317.44,5021263.488,20085053.85
558,0,Normal Warranty,LED46,IP2JR2/&IPIP/A,Tehran,,12/31/2012,12/31/2012,1/8/2013,0,8,0,WORN-OUT,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Major,Tech10,420000,0,84000,336000
559,1,Normal Warranty,LED40,IP2JRIP/&72/4,Tehran,,12/31/2012,12/31/2012,1/1/2013,0,1,1,WORN-OUT,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Major,Tech10,420000,16018675.28,3287835.056,13151740.22
560,1,Normal Warranty,LCD-40,IP2JRA/KLQEKL2,Tehran,,12/31/2012,12/31/2012,1/1/2013,0,1,1,WORN-OUT,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Major,Tech10,420000,14263021.08,2836604.216,11746416.86
